StudentID,attendance_risk,marks_risk,attempts_risk,fees_risk,dropout_risk
2326-001,R,O,O,O,R
2326-002,R,G,O,R,R
2326-003,R,O,O,R,R
2326-004,R,G,G,G,R
2326-005,R,G,O,O,R
2326-006,R,O,G,R,R
2326-007,G,O,G,R,R
2326-008,R,O,O,R,R
2326-009,R,G,O,R,R
2326-010,R,O,O,R,R
2326-011,G,G,G,R,R
2326-012,G,O,O,R,R
2326-013,R,O,O,R,R
2326-014,R,O,O,R,R
2326-015,R,O,O,G,R
2326-016,R,O,O,R,R
2326-017,R,G,O,G,R
2326-018,G,G,O,R,R
2326-019,R,G,O,O,R
2326-020,R,O,G,R,R
2326-021,R,O,O,R,R
2326-022,O,G,G,R,R
2326-023,R,G,G,R,R
2326-024,R,O,O,O,R
2326-025,R,O,G,G,R
2326-026,R,G,O,R,R
2326-027,R,G,O,O,R
2326-028,R,G,O,G,R
2326-029,R,G,G,R,R
2326-030,R,O,O,R,R
2326-031,R,G,G,G,R
2326-032,R,G,G,O,R
2326-033,R,G,O,R,R
2326-034,R,G,O,R,R
2326-035,R,O,G,R,R
2326-036,R,G,G,R,R
2326-037,R,O,G,O,R
2326-038,R,G,O,O,R
2326-039,G,G,O,G,G
2326-040,R,G,G,R,R
2326-041,R,O,G,R,R
2326-042,R,O,O,R,R
2326-043,R,G,G,R,R
2326-044,R,O,G,R,R
2326-045,R,O,G,R,R
2326-046,R,O,O,R,R
2326-047,R,G,O,O,R
2326-048,R,G,O,R,R
2326-049,R,G,O,R,R
2326-050,R,O,O,O,R
2326-051,R,O,O,R,R
2326-052,R,O,O,R,R
2326-053,R,G,O,G,R
2326-054,R,O,O,G,R
2326-055,R,G,G,G,R
2326-056,R,O,G,R,R
2326-057,R,O,G,R,R
2326-058,R,G,O,R,R
2326-059,G,G,G,R,R
2326-060,G,G,O,G,G
2326-061,R,O,O,O,R
2326-062,O,O,G,G,G
2326-063,O,O,O,R,R
2326-064,G,O,G,R,R
2326-065,G,O,O,R,R
2326-066,G,G,G,R,R
2326-067,G,G,O,R,R
2326-068,R,G,O,R,R
2326-069,R,O,O,R,R
2326-070,R,O,O,R,R
2326-071,O,G,G,G,G
2326-072,G,O,O,R,R
2326-073,R,G,G,R,R
2326-074,R,O,G,O,R
2326-075,R,G,G,R,R
2326-076,R,O,G,R,R
2326-077,R,O,O,O,R
2326-078,R,G,O,O,R
2326-079,R,O,G,O,R
2326-080,R,O,O,R,R
2326-081,R,O,G,O,R
2326-082,R,G,G,R,R
2326-083,O,O,O,R,R
2326-084,R,G,O,R,R
2326-085,O,O,G,R,R
2326-086,G,O,G,G,G
2326-087,R,O,G,R,R
2326-088,R,G,O,R,R
2326-089,R,O,O,R,R
2326-090,R,G,G,R,R
2326-091,R,G,O,R,R
2326-092,R,G,O,R,R
2326-093,R,G,G,R,R
2326-094,R,G,O,R,R
2326-095,O,O,O,R,R
2326-096,R,O,G,O,R
2326-097,G,O,O,R,R
2326-098,R,O,G,R,R
2326-099,R,O,O,O,R
2326-100,R,O,G,R,R
2326-101,O,O,O,R,R
2326-102,G,O,O,R,R
