StudentID,attendance,marks,attempts,fees_due
2326-001,80.6,79.8,4,43132
2326-002,100.0,61.7,4,70512
2326-003,96.8,72.0,4,79119
2326-004,96.8,69.4,4,35108
2326-005,100.0,63.6,3,61552
2326-006,100.0,68.8,6,98787
2326-007,71.0,66.5,4,122576
2326-008,100.0,69.1,2,36921
2326-009,96.8,54.3,4,41044
2326-010,100.0,64.8,2,70297
2326-011,90.3,65.0,4,51870
2326-012,100.0,59.5,4,91425
2326-013,93.5,52.0,6,154935
2326-014,93.5,58.9,4,98222
2326-015,80.6,53.4,3,79246
2326-016,80.6,65.1,3,77167
2326-017,83.9,56.2,6,116529
2326-018,96.8,57.6,5,129274
2326-019,71.0,62.1,4,128428
2326-020,100.0,60.6,2,105574
2326-021,61.3,62.8,3,151981
2326-022,93.5,57.9,5,158778
2326-023,96.8,57.2,5,152397
2326-024,100.0,72.3,3,88986
2326-025,93.5,63.8,3,114257
2326-026,74.2,53.9,4,133489
2326-027,90.3,61.9,3,75589
2326-028,93.5,60.9,3,134486
2326-029,100.0,65.0,3,92524
2326-030,90.3,61.3,6,61850
2326-031,87.1,57.3,2,85306
2326-032,80.6,72.9,6,125465
2326-033,90.3,71.6,3,45903
2326-034,93.5,73.6,2,34759
2326-035,54.8,70.9,5,62940
2326-036,83.9,66.5,2,99486
2326-037,90.3,66.4,2,49073
2326-038,93.5,61.1,4,119573
2326-039,58.1,72.2,5,31508
2326-040,100.0,59.1,4,90749
2326-041,93.5,60.3,2,73996
2326-042,64.5,56.8,3,77166
2326-043,74.2,66.8,2,62800
2326-044,80.6,71.4,2,83757
2326-045,90.3,57.2,3,69572
2326-046,71.0,56.2,4,68585
2326-047,96.8,70.1,2,113243
2326-048,67.7,51.5,3,78861
2326-049,61.3,61.4,4,52222
2326-050,54.8,53.1,4,79834
2326-051,90.3,56.0,2,50421
2326-052,90.3,53.9,4,139902
2326-053,74.2,59.9,4,133209
2326-054,64.5,61.9,5,87121
2326-055,61.3,67.4,3,91035
2326-056,83.9,53.6,5,56001
2326-057,100.0,52.4,3,51084
2326-058,93.5,63.8,4,42090
2326-059,100.0,59.5,4,115018
2326-060,87.1,61.3,3,49061
2326-061,96.8,73.3,7,120530
2326-062,61.3,63.7,7,152960
2326-063,58.1,56.0,3,34450
2326-064,71.0,59.4,4,75220
2326-065,87.1,58.6,7,146430
2326-066,93.5,54.0,3,90872
2326-067,87.1,55.0,3,46398
2326-068,90.3,57.7,4,72678
2326-069,87.1,71.0,2,149353
2326-070,93.5,62.2,4,150635
2326-071,64.5,61.8,3,49749
2326-072,80.6,56.1,4,108577
2326-073,93.5,69.6,7,110983
2326-074,100.0,66.3,5,97445
2326-075,74.2,73.7,6,88050
2326-076,93.5,65.9,4,137479
2326-077,96.8,63.3,3,143318
2326-078,77.4,63.9,5,129836
2326-079,93.5,57.3,4,39398
2326-080,96.8,72.6,4,51180
2326-081,100.0,62.8,5,71260
2326-082,96.8,60.7,3,140827
2326-083,64.5,61.1,3,63857
2326-084,90.3,62.4,3,136208
2326-085,96.8,65.3,4,110683
2326-086,71.0,66.3,2,86428
2326-087,90.3,64.5,2,84111
2326-088,71.0,60.1,6,56382
2326-089,96.8,67.5,9,57723
2326-090,83.9,58.2,2,104978
2326-091,100.0,61.8,3,125032
2326-092,71.0,56.7,2,157965
2326-093,96.8,61.6,6,129973
2326-094,87.1,69.7,3,33674
2326-095,83.9,65.8,2,98646
2326-096,58.1,69.9,4,99720
2326-097,90.3,57.3,4,81868
2326-098,83.9,57.7,4,84536
2326-099,64.5,56.2,4,56234
2326-100,61.3,56.5,4,54819
2326-101,71.0,57.0,5,156875
2326-102,93.5,58.1,3,110628
2326-103,67.7,51.8,7,110994
2326-104,93.5,64.5,4,86995
2326-105,93.5,57.0,2,117049
2326-106,71.0,68.0,2,99370
2326-107,96.8,62.9,5,122316
2326-108,90.3,61.7,4,89637
2326-109,100.0,60.2,5,131482
2326-110,87.1,55.4,6,137420
2326-111,96.8,58.4,3,71277
2326-112,100.0,63.5,3,37479
2326-113,83.9,63.8,2,76609
2326-114,90.3,68.4,2,126015
2326-115,96.8,56.3,2,62666
2326-116,96.8,59.0,2,102052
2326-117,83.9,61.4,5,83464
2326-118,61.3,52.4,2,54099
2326-119,93.5,54.2,4,81672
2326-120,74.2,72.8,3,77481
2326-121,96.8,61.3,3,151366
2326-122,96.8,57.3,3,84100
2326-123,74.2,70.6,6,55298
2326-124,71.0,66.3,5,144329
2326-125,67.7,64.5,2,75087
2326-126,100.0,61.7,6,54905
2326-127,61.3,70.0,5,74644
2326-128,96.8,72.1,2,116288
2326-129,71.0,69.7,6,57436
2326-130,90.3,62.7,4,38251
2326-131,93.5,66.8,7,113036
2326-132,93.5,56.0,3,43060
2326-133,77.4,64.8,4,156662
2326-134,83.9,57.4,5,43705
2326-135,87.1,58.8,8,141220
2326-136,96.8,59.8,2,97296
2326-137,100.0,58.4,5,116101
2326-138,93.5,70.5,8,88980
2326-139,93.5,59.1,5,158420
2326-140,71.0,72.3,5,139316
2326-141,100.0,64.7,4,50373
2326-142,96.8,71.3,4,89982
2326-143,93.5,54.4,2,43507
2326-144,87.1,73.1,5,52551
2326-145,90.3,64.9,5,149604
2326-146,90.3,60.0,2,105654
2326-147,93.5,73.3,5,64954
2326-148,64.5,71.6,2,51710
2326-149,71.0,75.4,5,153849
2326-150,64.5,60.9,8,124484
2326-151,77.4,64.9,4,124822
2326-152,90.3,64.3,6,116401
2326-153,64.5,64.9,4,137970
2326-154,74.2,63.3,3,61039
2326-155,74.2,71.5,5,105230
2326-156,96.8,55.9,3,130113
2326-157,90.3,66.7,3,57707
2326-158,93.5,65.7,5,149465
2326-159,77.4,70.9,4,109646
2326-160,96.8,66.6,3,64691
2326-161,93.5,64.3,4,52666
2326-162,90.3,58.2,4,133150
2326-163,64.5,64.3,4,132913
2326-164,93.5,71.4,8,81004
2326-165,58.1,57.3,8,50708
2326-166,93.5,51.7,4,120246
2326-167,93.5,53.1,7,62779
2326-168,93.5,58.2,3,62149
2326-169,90.3,61.2,7,157030
2326-170,61.3,61.6,3,116648
2326-171,93.5,74.9,4,60182
2326-172,96.8,63.2,3,139172
2326-173,77.4,62.6,2,144160
2326-174,87.1,66.2,5,159032
2326-175,71.0,56.6,2,66182
2326-176,100.0,68.9,6,91970
2326-177,93.5,62.5,3,57864
2326-178,93.5,60.4,4,154696
2326-179,100.0,58.8,3,44170
2326-180,93.5,59.5,3,68533
2326-181,93.5,52.8,4,116759
2326-182,90.3,51.2,4,119095
2326-183,93.5,73.4,5,113956
2326-184,96.8,61.8,2,84616
2326-185,93.5,63.2,6,123211
2326-186,90.3,63.4,5,115147
2326-187,64.5,48.1,3,66564
2326-188,100.0,66.9,5,112686
2326-189,77.4,65.6,5,141265
2326-190,61.3,61.2,5,110343
2326-191,96.8,65.5,5,114805
2326-192,96.8,59.3,3,126482
2326-193,83.9,67.5,2,60210
2326-194,93.5,67.7,5,132917
2326-195,74.2,67.7,4,34134
2326-196,93.5,66.5,3,89808
2326-197,93.5,61.9,4,72024
2326-198,64.5,72.1,2,102168
2326-199,96.8,62.8,4,41012
2326-200,96.8,64.9,5,79333
